Draw Number,Value
1,51.60
2,37.69
3,21.07
4,88.02
5,82.17
6,46.16
7,25.03
8,70.60
9,54.30
10,47.80
11,43.14
12,37.11
13,32.70
14,55.38
15,50.01
16,65.71
17,63.80
18,43.91
19,84.34
20,31.58
21,59.92
22,60.56
23,60.01
24,41.08
25,22.78
26,32.43
27,36.65
28,69.15
29,58.08
30,48.12
31,43.27
32,91.24
33,75.68
34,51.53
35,56.27
36,55.47
37,56.22
38,44.73
39,48.07
40,53.19
41,54.58
42,33.27
43,57.10
44,56.24
45,57.90
46,61.03
47,32.30
48,58.18
49,58.57
50,50.50
51,51.60
52,61.79
53,33.67
54,41.86
55,34.11
56,56.99
57,21.58
58,57.36
59,49.07
60,37.71
61,25.69
62,27.59
63,26.89
64,23.94
65,51.43
66,50.74
67,17.51
68,71.66
69,30.20
70,63.32
71,46.94
72,14.65
73,73.21
74,25.03
75,56.78
76,68.90
77,52.96
78,51.16
79,42.36
80,58.12
81,41.29
82,28.88
83,77.30
84,51.53
85,56.58
86,52.46
87,69.42
88,31.02
89,48.73
90,42.76
91,49.69
92,58.30
93,24.54
94,46.51
95,62.93
96,41.70
97,54.03
98,50.53
99,42.88
100,56.84
101,27.21
102,57.17
103,45.96
104,50.57
105,45.00
106,25.43
107,39.37
108,43.05
109,42.60
110,23.28
111,64.20
112,56.51
113,68.72
114,41.29
115,28.82
116,51.78
117,44.86
118,31.65
119,61.28
120,37.36
121,54.46
122,40.48
123,44.60
124,12.75
125,39.90
126,50.86
127,57.75
128,46.29
129,78.55
130,43.25
131,42.58
132,28.19
133,17.84
134,64.59
135,26.37
136,81.24
137,59.99
138,26.02
139,24.10
140,68.49
141,57.23
142,65.97
143,54.06
144,56.78
145,50.53
146,52.36
147,55.41
148,43.94
149,43.48
150,42.70
151,80.22
152,69.72
153,78.95
154,55.51
155,53.60
156,69.78
157,45.00
158,52.28
159,58.13
160,56.09
161,51.42
162,70.31
163,31.44
164,51.07
165,47.25
166,55.50
167,81.37
168,32.33
169,39.57
170,34.84
171,59.98
172,72.69
173,15.77
174,40.75
175,47.55
176,50.27
177,30.05
178,34.02
179,67.34
180,29.44
181,60.80
182,28.79
183,62.17
184,66.67
185,36.13
186,45.20
187,46.74
188,31.63
189,58.02
190,41.25
191,48.40
192,33.58
193,60.90
194,54.36
195,84.75
196,25.81
197,61.53
198,44.78
199,54.30
200,37.01
201,52.97
202,38.00
203,61.50
204,46.62
205,42.97
206,61.43
207,59.98
208,41.78
209,28.52
210,64.69
211,58.46
212,52.96
213,44.15
214,42.57
215,54.63
216,50.33
217,44.32
218,46.12
219,46.07
220,37.89
221,47.29
222,24.27
223,55.00
224,56.15
225,23.40
226,95.58
227,65.19
